PLAYER_ID,PLAYER_NAME,TEAM
1628404,Josh Hart,NYK
1631169,Josh Minott,BKN
1642490,Josh Oduro,NOP
1629006,Josh Okogie,HOU
201950,Jrue Holiday,POR
1630577,Julian Champagnie,SAS
1641763,Julian Phillips,MIN
1642882,Julian Reese,WAS
1631124,Julian Strawther,DEN
203944,Julius Randle,MIN
1630551,Justin Champagnie,WAS
1642348,Justin Edwards,PHI
203994,Jusuf Nurkić,UTA
1642354,KJ Simpson,DEN
1642955,Kadary Richmond,WAS
1642880,Kam Jones,IND
1626157,Karl-Anthony Towns,NYK
1631255,Karlo Matković,NOP
1642857,Kasparas Jakučionis,MIA
202695,Kawhi Leonard,LAC
1630811,Keaton Wallace,ATL
1631099,Keegan Murray,SAC
1642276,Kel'el Ware,MIA
1629640,Keldon Johnson,SAS
203482,Kelly Olynyk,SAS
1626162,Kelly Oubre Jr.,PHI
1631113,Kennedy Chandler,UTA
1629026,Kenrich Williams,OKC
203484,Kentavious Caldwell-Pope,MEM
1631165,Keon Ellis,CLE
1642352,Keshad Johnson,MIA
1642933,Keshon Gilbert,ATL
201142,Kevin Durant,HOU
1628989,Kevin Huerter,DET
201567,Kevin Love,UTA
1641755,Kevin McCullar Jr.,NYK
1629645,Kevin Porter Jr.,MIL
1626172,Kevon Looney,NOP
1641718,Keyonte George,UTA
1642863,Khaman Maluach,PHX
203114,Khris Middleton,DAL
1630165,Killian Hayes,SAC
202691,Klay Thompson,DAL
1641738,Kobe Brown,IND
1641723,Kobe Bufkin,LAL
1642920,Kobe Sanders,LAC
1642886,Koby Brea,PHX
1642851,Kon Knueppel,CHA
1627739,Kris Dunn,LAC
1631200,Kris Murray,POR
204001,Kristaps Porziņģis,GSW
203937,Kyle Anderson,MIN
1642271,Kyle Filipowski,UTA
1628398,Kyle Kuzma,MIL
200768,Kyle Lowry,PHI
1642273,Kyshawn George,WAS
1643018,LJ Cryer,GSW
1630163,LaMelo Ball,CHA
1642950,Lachlan Olbrich,CHI
1629013,Landry Shamet,NYK
1626204,Larry Nance Jr.,CLE
1628374,Lauri Markkanen,UTA
1643133,Lawson Lovering,MEM
2544,LeBron James,LAL
1641778,Leaky Black,WAS
1631159,Leonard Miller,CHI
1642862,Liam McNeeley,CHA
1630322,Lindy Waters III,SAS
1628366,Lonzo Ball,CLE
1631351,Lucas Williamson,MEM
1629652,Luguentz Dort,OKC
1629029,Luka Dončić,LAL
1630568,Luka Garza,BOS
1628379,Luke Kennard,LAL
1628436,Luke Kornet,SAS
1631247,Luke Travers,CLE
1630644,Mac McClung,CHI
1641869,Malachi Smith,BKN
1631103,Malaki Branham,WAS
1642502,Malevy Leons,GSW
1628370,Malik Monk,SAC
1630699,MarJon Beauchamp,PHI
1631204,Marcus Sasser,DET
203935,Marcus Smart,LAL
1641813,Mark Sears,MIL
1631109,Mark Williams,PHX
1628365,Markelle Fultz,TOR
1628963,Marvin Bagley III,DAL
203486,Mason Plumlee,SAS
1641824,Matas Buzelis,CHI
1629680,Matisse Thybulle,POR
1631108,Max Christie,DAL
1642917,Max Shulga,BOS
1629622,Max Strus,CLE
1628467,Maxi Kleber,LAL
1642875,Maxime Raynaud,SAC
1642877,Micah Peavy,NOP
1630695,Micah Potter,IND
1629008,Michael Porter Jr.,BKN
1628969,Mikal Bridges,NYK
201144,Mike Conley,MIN
1628970,Miles Bridges,CHA
1642939,Miles Kelly,DAL
1630540,Miles McBride,NYK
1629011,Mitchell Robinson,NYK
